"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"ee-vjl-biomarker","Observation.instantiates[x]","Observation.instantiates[x]","","","",0,0,"","","Y","canonical {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/ObservationDefinition|5.0.0]]}
Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/ObservationDefinition|5.0.0]]}","Instantiates FHIR ObservationDefinition","The reference to a FHIR ObservationDefinition resource that provides the definition that is adhered to in whole or in part by this Observation instance.","ObservationDefinition can be referenced by its canonical url using instantiatesCanonical, or by a name or an identifier using the appropriate sub-elements of instantiatesReference.","","","","","","","","",,,,,"",,,,"Observation.instantiates[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ee-vjl-biomarker","Observation.basedOn","Observation.basedOn","","Fulfills
","",0,0,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/CarePlan|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/DeviceRequest|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/ImmunizationRecommendation|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/MedicationRequest|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/NutritionOrder|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/ServiceRequest|5.0.0]]}
","Fulfills plan, proposal or order","A plan, proposal or order that is fulfilled in whole or in part by this event.  For example, a MedicationRequest may require a patient to have laboratory test performed before  it is dispensed.","","Allows tracing of authorization for the event and tracking whether proposals/recommendations were acted upon.","","","","","","","",,,,,"",,,,"Observation.basedOn",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ee-vjl-biomarker","Observation.triggeredBy","Observation.triggeredBy","","","",0,0,"","","","BackboneElement {[]} {[]}
","Triggering observation(s)","Identifies the observation(s) that triggered the performance of this observation.","","","","","","","","","",,,,,"",,,,"Observation.triggeredBy",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ee-vjl-biomarker","Observation.triggeredBy.id","Observation.triggeredBy.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"ee-vjl-biomarker","Observation.triggeredBy.extension","Observation.triggeredBy.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ee-vjl-biomarker","Observation.triggeredBy.modifierExtension","Observation.triggeredBy.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ee-vjl-biomarker","Observation.triggeredBy.observation","Observation.triggeredBy.observation","","","",1,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Observation|5.0.0]]}
","Triggering observation","Reference to the triggering observation.","","","","","","","","","",,,,,"",,,,"Observation.triggeredBy.observation",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ee-vjl-biomarker","Observation.triggeredBy.type","Observation.triggeredBy.type","","","",1,1,"","","Y","code {[]} {[]}
","reflex | repeat | re-run","The type of trigger.
Reflex | Repeat | Re-run.","","","","","","","","","",,"required","The type of TriggeredBy Observation.","http://hl7.org/fhir/ValueSet/observation-triggeredbytype|5.0.0","",,,,"Observation.triggeredBy.type",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ee-vjl-biomarker","Observation.triggeredBy.reason","Observation.triggeredBy.reason","","","",0,1,"","","","string {[]} {[]}
","Reason that the observation was triggered","Provides the reason why this observation was performed as a result of the observation(s) referenced.","","","","","","","","","",,,,,"",,,,"Observation.triggeredBy.reason",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ee-vjl-biomarker","Observation.partOf","Observation.partOf","","Container
","",0,0,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/MedicationAdministration|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/MedicationDispense|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/MedicationStatement|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/Procedure|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/Immunization|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/ImagingStudy|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/GenomicStudy|5.0.0]]}
","Part of referenced event","A larger event of which this particular Observation is a component or step.  For example,  an observation as part of a procedure.","To link an Observation to an Encounter use `encounter`.  See the  [Notes](http://hl7.org/fhir/R5/observation.html#obsgrouping) below for guidance on referencing another Observation.","","","","","","","","",,,,,"",,,,"Observation.partOf",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ee-vjl-biomarker","Observation.status","Observation.status","","","",1,1,"","Y","Y","code {[]} {[]}
","registered | preliminary | final | amended +","The status of the result value.","This element is labeled as a modifier because the status contains codes that mark the resource as not currently valid.","Need to track the status of individual results. Some results are finalized before the whole report is finalized.","","","","","","","",,"required","Codes providing the status of an observation.","http://hl7.org/fhir/ValueSet/observation-status|5.0.0","",,,,"Observation.status",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ee-vjl-biomarker","Observation.category","Observation.category","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Classification of  type of observation","A code that classifies the general type of observation being made.","In addition to the required category valueset, this element allows various categorization schemes based on the owner’s definition of the category and effectively multiple categories can be used at once.  The level of granularity is defined by the category concepts in the value set.","Used for filtering what observations are retrieved and displayed.","","","","","","","",,"preferred","Codes for high level observation categories.","http://hl7.org/fhir/ValueSet/observation-category|5.0.0","",,,,"Observation.category",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ee-vjl-biomarker","Observation.category.id","Observation.category.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"ee-vjl-biomarker","Observation.category.extension","Observation.category.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ee-vjl-biomarker","Observation.category.coding","Observation.category.coding","","","",1,1,"","","Y","Coding {[]} {[]}
","Code defined by a terminology system","A reference to a code defined by a terminology system.","Codes may be defined very casually in enumerations, or code lists, up to very formal definitions such as SNOMED CT - see the HL7 v3 Core Principles for more information.  Ordering of codings is undefined and SHALL NOT be used to infer meaning. Generally, at most only one of the coding values will be labeled as UserSelected = true.","Allows for alternative encodings within a code system, and translations to other code systems.","","","","<valueCoding xmlns=""http://hl7.org/fhir"">
  <system value=""http://terminology.hl7.org/CodeSystem/observation-category""/>
  <code value=""laboratory""/>
</valueCoding>","","","",,,,,"",,,,"CodeableConcept.coding",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ee-vjl-biomarker","Observation.category.text","Observation.category.text","","","",0,1,"","","Y","string {[]} {[]}
","Plain text representation of the concept","A human language representation of the concept as seen/selected/uttered by the user who entered the data and/or which represents the intended meaning of the user.","Very often the text is the same as a displayName of one of the codings.","The codes from the terminologies do not always capture the correct meaning with all the nuances of the human using them, or sometimes there is no appropriate code at all. In these cases, the text is used to capture the full meaning of the source.","","","","","","","",,,,,"",,,,"CodeableConcept.text",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ee-vjl-biomarker","Observation.code","Observation.code","","Name
","",1,1,"","","Y","CodeableConcept {[]} {[]}
","Loend LOINC koodidest, mis on biomarkerite aluseks","Describes what was observed. Sometimes this is called the observation ""name"".","*All* code-value and, if present, component.code-component.value pairs need to be taken into account to correctly understand the meaning of the observation.","Knowing what kind of observation is being made is essential to understanding the observation.","","","","","","","",,"example","Codes identifying names of simple observations.","http://hl7.org/fhir/ValueSet/observation-codes|5.0.0","",,,,"Observation.code",1,1,"obs-7
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ee-vjl-biomarker","Observation.subject","Observation.subject","","","",1,1,"","","Y","Reference {[]} {[CanonicalType[https://fhir.ee/vjl/StructureDefinition/ee-vjl-patient]]}
","Who and/or what the observation is about","The patient, or group of patients, location, device, organization, procedure or practitioner this observation is about and into whose or what record the observation is placed. If the actual focus of the observation is different from the subject (or a sample of, part, or region of the subject), the `focus` element or the `code` itself specifies the actual focus of the observation.","One would expect this element to be a cardinality of 1..1. The only circumstance in which the subject can be missing is when the observation is made by a device that does not know the patient. In this case, the observation SHALL be matched to a patient through some context/channel matching technique, and at this point, the observation should be updated. The subject of an Observation may in some cases be a procedure.  This supports the regulatory inspection use case where observations are captured during inspections of a procedure that is being performed (independent of any particular patient or whether patient related at all).","Observations have no value if you don't know who or what they're about.","","","","","","","",,,,,"",,,,"Observation.subject",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ee-vjl-biomarker","Observation.focus","Observation.focus","","","",0,0,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Resource|5.0.0]]}
","What the observation is about, when it is not about the subject of record","The actual focus of an observation when it is not the patient of record representing something or someone associated with the patient such as a spouse, parent, fetus, or donor. For example, fetus observations in a mother's record.  The focus of an observation could also be an existing condition,  an intervention, the subject's diet,  another observation of the subject,  or a body structure such as tumor or implanted device.   An example use case would be using the Observation resource to capture whether the mother is trained to change her child's tracheostomy tube. In this example, the child is the patient of record and the mother is the focus.","Typically, an observation is made about the subject - a patient, or group of patients, location, or device - and the distinction between the subject and what is directly measured for an observation is specified in the observation code itself ( e.g., ""Blood Glucose"") and does not need to be represented separately using this element.  Use `specimen` if a reference to a specimen is required.  If a code is required instead of a resource use either  `bodysite` for bodysites or the standard extension [http://hl7.org/fhir/StructureDefinition/observation-focusCode](http://hl7.org/fhir/extensions/StructureDefinition-observation-focusCode.html).","","","","","","","","",,,,,"",,,,"Observation.focus",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ee-vjl-biomarker","Observation.encounter","Observation.encounter","","Context
","",0,0,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Encounter|5.0.0]]}
","Healthcare event during which this observation is made","The healthcare event  (e.g. a patient and healthcare provider interaction) during which this observation is made.","This will typically be the encounter the event occurred within, but some events may be initiated prior to or after the official completion of an encounter but still be tied to the context of the encounter (e.g. pre-admission laboratory tests).","For some observations it may be important to know the link between an observation and a particular encounter.","","","","","","","",,,,,"",,,,"Observation.encounter",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ee-vjl-biomarker","Observation.effective[x]","Observation.effective[x]","","Occurrence
","",1,1,"","","Y","dateTime {[]} {[]}
","Analüüsi tegemise aeg?","The time or time-period the observed value is asserted as being true. For biological subjects - e.g. human patients - this is usually called the ""physiologically relevant time"". This is usually either the time of the procedure or of specimen collection, but very often the source of the date/time is not known, only the date/time itself.","At least a date should be present unless this observation is a historical report.  For recording imprecise or ""fuzzy"" times (For example, a blood glucose measurement taken ""after breakfast"") use the [Timing](http://hl7.org/fhir/R5/datatypes.html#timing) datatype which allow the measurement to be tied to regular life events.","Knowing when an observation was deemed true is important to its relevance as well as determining trends.","","","","","","","",,,,,"",,,,"Observation.effective[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ee-vjl-biomarker","Observation.issued","Observation.issued","","","",0,0,"","","Y","instant {[]} {[]}
","Date/Time this version was made available","The date and time this version of the observation was made available to providers, typically after the results have been reviewed and verified.","For Observations that don't require review and verification, it may be the same as the [`lastUpdated` ](http://hl7.org/fhir/R5/resource-definitions.html#Meta.lastUpdated) time of the resource itself.  For Observations that do require review and verification for certain updates, it might not be the same as the `lastUpdated` time of the resource itself due to a non-clinically significant update that doesn't require the new version to be reviewed and verified again.","","","","","","","","",,,,,"",,,,"Observation.issued",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ee-vjl-biomarker","Observation.performer","Observation.performer","","","",0,*,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/PractitionerRole|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/CareTeam|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/Patient|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/RelatedPerson|5.0.0]]}
","Who is responsible for the observation","Who was responsible for asserting the observed value as ""true"".","","May give a degree of confidence in the observation and also indicates where follow-up questions should be directed.","","","","","","","",,,,,"",,,,"Observation.performer",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ee-vjl-biomarker","Observation.value[x]","Observation.value[x]","","","",1,1,"","","Y","CodeableConcept {[]} {[]}
","Placeholder, loend ja selle sisu tuleb veel kokku leppida!","The information determined as a result of making the observation, if the information has a simple value.","- An observation may have:
  1.  a single value here
  1.  both a value and a set of related or component values
  1.  only a set of related or component values.
-  If a value is present, the datatype for this element should be determined by the `code`.
-  *CodeableConcept* with just a text would be used instead of a string if the field was usually coded, or if the type associated with the `code` defines a coded value.
-  *Attachment* is used if the observation result value is a binary file such as an image.  If the observation result value is derived from the binary file (for example 'X' detected and here is the the proof in this image), the binary file may be directly represented using *DocumentReference* and referenced by `derivedFrom`.
- The usage of valueReference is restricted to the MolecularSequence resource when used as a definitional resource, not as a patient-specific finding. .
- For additional guidance, see the [Notes section](http://hl7.org/fhir/R5/observation.html#notes) below.","An observation exists to have a value, though it might not if it is in error, or if it represents a group of observations.","","","","","","","",,"required","","https://fhir.ee/ValueSet/biomarkeri-tulemused","",,,,"Observation.value[x]",0,1,"obs-7
obs-6","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ee-vjl-biomarker","Observation.dataAbsentReason","Observation.dataAbsentReason","","","",0,0,"","","","CodeableConcept {[]} {[]}
","Why the result is missing","Provides a reason why the expected value in the element Observation.value[x] is missing.","Null or exceptional values can be represented two ways in FHIR Observations.  One way is to simply include them in the value set and represent the exceptions in the value.  For example, measurement values for a serology test could be  ""detected"", ""not detected"", ""inconclusive"", or  ""specimen unsatisfactory"".   

The alternate way is to use the value element for actual observations and use the explicit dataAbsentReason element to record exceptional values.  For example, the dataAbsentReason code ""error"" could be used when the measurement was not completed. Note that an observation may only be reported if there are values to report. For example differential cell counts values may be reported only when > 0.  Because of these options, use-case agreements are required to interpret general observations for null or exceptional values.","For many results it is necessary to handle exceptional values in measurements.","","","","","","","",,"extensible","Codes specifying why the result (`Observation.value[x]`) is missing.","http://hl7.org/fhir/ValueSet/data-absent-reason|5.0.0","",,,,"Observation.dataAbsentReason",0,1,"obs-6
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ee-vjl-biomarker","Observation.interpretation","Observation.interpretation","","Abnormal Flag
","",0,*,"","","","CodeableConcept {[]} {[]}
","High, low, normal, etc","A categorical assessment of an observation value.  For example, high, low, normal.","Historically used for laboratory results (known as 'abnormal flag' ),  its use extends to other use cases where coded interpretations  are relevant.  Often reported as one or more simple compact codes this element is often placed adjacent to the result value in reports and flow sheets to signal the meaning/normalcy status of the result.","For some results, particularly numeric results, an interpretation is necessary to fully understand the significance of a result.","","","","","","","",,"extensible","Codes identifying interpretations of observations.","http://hl7.org/fhir/ValueSet/observation-interpretation|5.0.0","",,,,"Observation.interpretation",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ee-vjl-biomarker","Observation.note","Observation.note","","","",0,*,"","","","Annotation {[]} {[]}
","Comments about the observation","Comments about the observation or the results.","May include general statements about the observation, or statements about significant, unexpected or unreliable results values, or information about its source when relevant to its interpretation.","Need to be able to provide free text additional information.","","","","","","","",,,,,"",,,,"Observation.note",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ee-vjl-biomarker","Observation.bodySite","Observation.bodySite","","","",0,0,"","","","CodeableConcept {[]} {[]}
","Observed body part","Indicates the site on the subject's body where the observation was made (i.e. the target site).","Only used if not implicit in code found in Observation.code.  In many systems, this may be represented as a related observation instead of an inline component.","","","","","","","","",,"example","SNOMED CT Body site concepts","http://hl7.org/fhir/ValueSet/body-site|5.0.0","",,,,"Observation.bodySite",0,1,"obs-8
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
